Distance function;Image size;Instance class;Instance;Optimal objective function value;Solution time [ms];IIO time [ms];Matryoshka time [ms];IIO step 2 basis changes;IIO iterations
OF1;512;LogGRF;08-10;3467416318900741;77694887;75899778;1795109;7756762;53191
OF1;512;LogGRF;09-06;1521458489536898;35409843;34233861;1175982;5228853;29724
OF1;512;LogGRF;09-07;2105986472104078;46996064;45410967;1585097;5949445;25468
OF1;512;LogGRF;10-01;4238337771792607;122804558;120224640;2579918;7333941;96990
OF1;512;LogGRF;10-02;4497115378782746;151941984;148375374;3566610;8025064;84602
OF1;512;LogGRF;10-05;2640871648530694;57126597;55498727;1627870;5715986;38001
OF1;512;LogGRF;10-06;2880988121382670;49039112;47852066;1187046;5841467;41816
OF1;512;LogGRF;10-07;3246827619330614;138431810;134380555;4051255;7508538;93528
OF1;512;LogGRF;10-09;1883208054091999;47361457;45931002;1430455;5540510;33849
OF1;512;LogitGRF;01-05;1872227921292434;95329784;93209253;2120531;6631817;63309
OF1;512;LogitGRF;01-06;1433428195264098;74882567;72210869;2671698;5217232;50798
OF1;512;LogitGRF;01-07;817006913419597;103892128;101216827;2675301;4149300;55429
OF1;512;LogitGRF;01-09;1202993638389664;62985696;61368452;1617244;5285594;53146
OF1;512;LogitGRF;02-01;1455916259034706;56200685;54555336;1645349;5737089;38468
OF1;512;LogitGRF;02-05;846596743407382;36033193;34520088;1513105;4266850;20571
OF1;512;LogitGRF;02-06;983397971657819;69297292;67332084;1965208;4905832;33271
OF1;512;LogitGRF;02-07;1352977530123335;36146948;34762745;1384203;5149284;34723
OF1;512;LogitGRF;02-09;1197479746546764;65691707;63972361;1719346;5137933;25253
OF1;512;LogitGRF;03-01;1001795412056512;44114786;42609802;1504984;5115976;36345
OF1;512;LogitGRF;03-02;1057237939918359;50108104;48746770;1361334;4854390;29494
OF1;512;LogitGRF;03-04;1168374322992612;36270783;34871426;1399357;5039482;32407
OF1;512;LogitGRF;03-05;1550198813533072;79217923;77074668;2143255;5850460;47668
OF1;512;LogitGRF;03-06;1166340179895154;56031819;53838164;2193655;4817852;32484
OF1;512;LogitGRF;03-07;825553674001136;31620742;29859088;1761654;4230590;21554
OF1;512;LogitGRF;03-09;945744917746280;39352521;37987549;1364972;4438235;28411
OF1;512;LogitGRF;03-10;1554654330295773;61529497;59283390;2246107;5397358;40710
OF1;512;LogitGRF;04-01;1421991835737476;50242547;48943409;1299138;5774025;36063
OF1;512;LogitGRF;04-02;670125924475019;58542286;57371882;1170404;4423145;30579
OF1;512;LogitGRF;04-05;979516602737808;78788832;76957680;1831152;4900995;43614
OF1;512;LogitGRF;04-06;1155475103532624;46545375;44499853;2045522;4732375;28530
OF1;512;LogitGRF;04-07;1396479197632950;36289516;34847801;1441715;4663925;29145
OF1;512;LogitGRF;04-09;1364107133968956;79263126;77157095;2106031;5457890;66640
OF1;512;LogitGRF;04-10;1405114548979710;67847252;66171065;1676187;5233470;49151
OF1;512;LogitGRF;05-06;1114815197499333;58511611;57356504;1155107;4520608;27885
OF1;512;LogitGRF;05-07;1596935038425510;65620660;63414490;2206170;5752819;42067
OF1;512;LogitGRF;05-09;1750702793345526;60598840;58686202;1912638;5435109;32349
OF1;512;LogitGRF;07-06;1205693987293638;50186667;48686306;1500361;4902360;31458
OF1;512;LogitGRF;08-01;1511723086105364;56460826;54966825;1494001;5578037;42179
OF1;512;LogitGRF;08-02;912222613359522;56988420;55518988;1469432;4272253;27594
OF1;512;LogitGRF;08-03;1020826262232444;44043316;42514315;1529001;4816438;28204
OF1;512;LogitGRF;08-04;1179366459407823;54595631;52612306;1983325;4601611;24417
OF1;512;LogitGRF;08-05;1518351008536271;59055450;56872178;2183272;5003621;29071
OF1;512;LogitGRF;08-06;1091180569748553;68069523;66421847;1647676;5054353;33026
OF1;512;LogitGRF;08-07;1402131614676128;46341186;44960603;1380583;5573603;35613
OF1;512;LogitGRF;08-09;985087022866599;39359772;38074893;1284879;4689195;23824
OF1;512;LogitGRF;08-10;1146374406859496;69710664;67344514;2366150;4972042;42735
OF1;512;LogitGRF;09-06;1036943169897174;62885727;61163636;1722091;4628127;31180
OF1;512;LogitGRF;09-07;1098730468874014;35850279;34736985;1113294;4941512;26754
OF1;512;LogitGRF;10-01;1810791980923124;66422174;64763252;1658922;5606756;46570
OF1;512;LogitGRF;10-02;1075154808223533;63949963;62386419;1563544;4850823;30113
OF1;512;LogitGRF;10-05;1311312425274122;90324943;88258803;2066140;4715597;37687
OF1;512;LogitGRF;10-06;825366446313214;39312644;38168668;1143976;4586211;25032
OF1;512;LogitGRF;10-07;1753240604985479;64968217;62846271;2121946;5091644;39520
OF1;512;LogitGRF;10-09;1450962486180640;81454472;79195002;2259470;5286153;34603
OF1;512;MicroscopyImages;01-05;2490108762263365;12596613;11189121;1407492;2169976;14948
